B.Code,value,table,field,issue,tabname,issue_addressed,addressed_by_whom,notes
NN0410,"NaCRRI, Namulonge. F/NaCRRI, Namulonge.M/NaCRRI, Namulonge.C",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0423,"Makerere University ARI, Kabanyolo. 2018 site/Makerere University ARI, Kabanyolo. 2019 site",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0423,"Makerere University ARI, Kabanyolo. 2018 site/Makerere University ARI, Kabanyolo. 2019 site/Makerere University ARI, Kabanyolo. 2018 site..Makerere University ARI, Kabanyolo. 2019 site",Site.Out,Site.LonD/Site.LatD,Co-ordinates are not in the country specified?,,FALSE,"",""
NN0426,"Escola Superior de Agricultura Luiz de Queiroz, University of Sao Paulo",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0430,"AVTC farm, Otobi",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0435,Pesquisa e Extensão of the Faculdade de Engenharia de Ilha Solteira-Ilha Solteira,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0437,Federal University of Santa Maria Frederico Westphalen,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0452,Chitedze ARS,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0457,"FUTO Teaching and Research Farm, Owerri_A/FUTO Teaching and Research Farm, Owerri_B",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0463,Arri/Dareda,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0473,"ISRA, Nioro du Rip- 2015/ISRA, Sinthiou Maleme- 2015/ISRA, Nioro du Rip- 2016/ISRA, Sinthiou Maleme- 2016",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0506,"Balazo station, Desert Research Center, Experimental farm",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0511,"ARC,  Al Sharqia Governorate. Site A/ARC,  Al Sharqia Governorate. Site B",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0516,"CIMMYT, Harare",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0524,Chitedze ARS,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0525,"INERA, Saria - Ferric Lixisols/INERA, Saria - Petric Plinthosols/INERA, Saria - Pisoplinthic Petric Plinthosols",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0535,Bule Agricultural Research Sub Center,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0558,Chitedze ARS,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0559.1,Nyankpala-station/Damongo-station/Berekum-station/Kwadaso-station/Mampong-station/Wenchi-station/Nkoranza-station/Forifori-station,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
NN0559.3,34.3,Site.Out,Site.MAT,Extreme values detected in field (outside range: 10-34),,TRUE,Jabesh,""
NN0559.4,Wenchi-station,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0019,"Indian Institute of Soil Science, Bhopal",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0024,Pant University of Agriculture & Technology,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0032,ICAR-Experimental Farm,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0043,"Agriculture Research Farm of Banaras Hindu University, Varanasi",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0045,Gunegal Research Farm/Gunegal Research Farm-II,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0047,"ICAR –Indian Agricultural Research Institute, Dehli",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0050,"Indian Institute of Soil Science, Bhopal",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0052,Pant University of Agriculture & Technology-Norman. E. Borlaug Crop Research Centre,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0056,"Bangladesh Rice Research Institute, (BRRI) Gazipur",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SA0058,VPKAS-Experimental Farm,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SP0003,"NaCORI, Mukono",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SP0007,Mixteca,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SP0021,"Teaching, Research, and Extension (Selviria) Sao Pablo state University",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SP0024,Lageado Experimental Farm of the UNESP,Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
SP0065,"Experimental Station of the Faculty of Desert and Environmental Agriculture, Matrouh University",Animals.Diet,Site.ID,No match for facility in era_master_sheet site_list tab (inc. synonyms or harmonization fields).,,FALSE,"",""
