B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
NN0034,Schizachyrium exile = Schizachyrium exile Urea Treated/Schizachyrium exile,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0083,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NN0108,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NN0156,Barley = Barley/Barley Ground,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0156,Wheat = Wheat/Wheat Ground,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0156,Whole-grain,Animals.Out,A.Level.Name,"Possible error, an animal diet has no associated practices.",FALSE,"",""
NN0180.2,Grass Hay = Grass Dried Ensiled/Grass Dried,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0188,Diet 0/Diet 100/Diet 33/Diet 66,Animals.Diet.Digest,D.Item,"Focus of digestibility is diet, but values across the diet item or diet sum to more than 100 for % units or more than 1 for g/kg units",FALSE,"",""
NN0191.2,Erythrina Abyssinica,Animals.Diet.Comp,D.Item,No matching value in diet description table.,FALSE,"",""
NN0198,Moringa stenopetala leaf,Animals.Diet.Comp,D.Item,No matching value in diet description table.,FALSE,"",""
NN0198,Noug Cake (Guizotia abyssinica) = Noug Cake/Noug Cake Ground,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0204,Untreated low/Untreated med/Untreated high,Animals.Out,A.Level.Name,"Possible error, an animal diet has no associated practices.",FALSE,"",""
NN0207.1/NN0207.2,Sorghum Stover = Sorghum Straw/Sorghum Straw Chopped,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0224,Maize I Hay 300/Maize I Hay 450/Maize II Hay 300/Maize II Hay 450/Maize III Hay 450,Animals.Diet.Digest,D.Item,"Focus of digestibility is diet, but values across the diet item or diet sum to more than 100 for % units or more than 1 for g/kg units",FALSE,"",""
NN0224,Maize Stover = Maize Straw Dried(Sun) Chopped/Maize Straw Chopped,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0227,Maize Hay||Dried/Chopped,Animals.Diet,D.Item,No-match between excel D.Item and era_master_sheet/ani_diet/D.Item,FALSE,"",""
NN0227,maize-iablab and cowpea hay,Animals.Diet.Digest,D.Item,No matching value in diet description table.,FALSE,"",""
NN0229,Leftover Khat (Catha edulis) = Catha edulis Residue/Catha edulis Residue Dried(Sun)/Catha edulis Residue Ensiled Chopped,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0244.2,Napier Grass = Pennisetum purpureum/Pennisetum purpureum Chopped/Pennisetum purpureum Ground,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0293,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NN0299,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NN0315,GS2,Animals.Out/Animals.Diet,A.Level.Name,Mismatch in field value between parent and child tables.,FALSE,"",""
NN0315,Maize Stover = Maize Straw Chopped/Maize Stover,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0321,Baobao Seed Oilcake,Animals.Diet.Comp,D.Item,"Value is present for DC.DM but associated item, value, or unit is missing in DC.DM.Unit.",FALSE,"",""
NN0322,Palm Kernel Cake = Palm Kernel Cake Dried Fermented Pulverized/Palm Kernel Cake,Animals.Diet,D.Item = D.Item.Root.Other.Comp.Proc_All,Multiple matches between D.Item in Composition table and Diet Description table.,FALSE,"",""
NN0339.2,18/.2,Animals.Diet.Comp,DC.GE,Non-numeric value in numeric field.,FALSE,"",""
NN0365,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NN0370,Unspecified,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NN0372,Adlibitum,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NN0375,Grass Hay,Animals.Diet,D.Item,Exact Duplicate rows in table,FALSE,"",""
NN0377,adlibitum,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NN0383,~7,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
NN0394,Adlibitum,Animals.Diet,D.Amount,Non-numeric value in numeric field.,FALSE,"",""
